Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,...,Normal low,Normal high,Allow decimals,Display precision,_version:1,_order:16,Data class,Data type,Answers
11511f1e-73a3-4e30-988c-67a617bbc3v4,,"Date Death, Death Note",Date of Death,,,,,,,,,Misc,Date,
2726c930-7e6e-48ae-9015-b0e17fdcdf2e,,Cause of Death,,,,,,,,,,Misc,Text,
939d64e5-4616-47de-9137-1e52ca415326,,Death Form,,,,,,,,,,Misc,N/A,
